#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x


# MAGYAR (?) GROUP


# hungarian Feudal RULERS
emperor_hungarian;Cadaverist Pope;;;;;;;;;;;;;x,,,,,,


# EREALIC GROUP


### ereal Feudal RULERS
count_ereal;Lestur;;;;;;;;;;;;;x,,,,,,
count_female_ereal;Lestris;;;;;;;;;;;;;x,,,,,,
duke_ereal;Etibun;;;;;;;;;;;;;x,,,,,,
duke_female_ereal;Etibunis;;;;;;;;;;;;;x,,,,,,
king_ereal;Tchonsul;;;;;;;;;;;;;x,,,,,,
king_female_ereal;Tchonsolis;;;;;;;;;;;;;x,,,,,,
emperor_ereal;Impeatur;;;;;;;;;;;;;x,,,,,,
emperor_female_ereal;Impeatis;;;;;;;;;;;;;x,,,,,,
vice_royalty_duke_ereal;Protibun;;;;;;;;;;;;;x,,,,,,
vice_royalty_duke_female_ereal;Protibunis;;;;;;;;;;;;;x,,,,,,
vice_royalty_king_ereal;Prochonsul;;;;;;;;;;;;;x,,,,,,
vice_royalty_king_female_ereal;Prochonsolis;;;;;;;;;;;;;x,,,,,,
### ereal Feudal TITLES
barony_ereal;Barony;;;;;;;;;;;;;x,,,,,,
county_ereal;Lesturate;;;;;;;;;;;;;x,,,,,,
duchy_ereal;Etibunate;;;;;;;;;;;;;x,,,,,,
kingdom_ereal;Tchonsulate;;;;;;;;;;;;;x,,,,,,
empire_ereal;Imperium;;;;;;;;;;;;;x,,,,,,
vice_royalty_duchy_ereal;Protibunate;;;;;;;;;;;;;x,,,,,,
vice_royalty_kingdom_ereal;Prochonsulate;;;;;;;;;;;;;x,,,,,,
### ereal Feudal TITLES_OF
barony_of_ereal;Barony of;;;;;;;;;;;;;x,,,,,,
county_of_ereal;Lesturate of;;;;;;;;;;;;;x,,,,,,
duchy_of_ereal;Etibunate of;;;;;;;;;;;;;x,,,,,,
kingdom_of_ereal;Tchonsulate of;;;;;;;;;;;;;x,,,,,,
empire_of_ereal;Imperium;;;;;;;;;;;;;x,,,,,,
vice_royalty_duchy_of_ereal;Protibunate of;;;;;;;;;;;;;x,,,,,,
vice_royalty_kingdom_of_ereal;Prochonsulate of;;;;;;;;;;;;;x,,,,,,

### calugian Feudal RULERS
count_calugian;Provinctor;;;;;;;;;;;;;x,,,,,,
count_female_calugian;Provinctris;;;;;;;;;;;;;x,,,,,,
duke_calugian;Regulus;;;;;;;;;;;;;x,,,,,,
duke_female_calugian;Reginula;;;;;;;;;;;;;x,,,,,,
king_calugian;Regnopotis;;;;;;;;;;;;;x,,,,,,
king_female_calugian;Regnopotnis;;;;;;;;;;;;;x,,,,,,
emperor_calugian;Magnus;;;;;;;;;;;;;x,,,,,,
emperor_female_calugian;Magna;;;;;;;;;;;;;x,,,,,,
vice_royalty_duke_calugian;Junior Proregnator;;;;;;;;;;;;;x,,,,,,
vice_royalty_duke_female_calugian;Junior Proregnatris;;;;;;;;;;;;;x,,,,,,
