#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_land1;Land1;Land1;Land1;;Land1;;;;;;;;;x
b_land1_adj;Land1ian;;land1er;;;;;;;;;;;x
b_land10;Land10;Land10;Land10;;Land10;;;;;;;;;x
b_land10_adj;Land10ian;;land10er;;;;;;;;;;;x
b_land11;Land11;Land11;Land11;;Land11;;;;;;;;;x
b_land11_adj;Land11ian;;land11er;;;;;;;;;;;x
b_land12;Land12;Land12;Land12;;Land12;;;;;;;;;x
b_land12_adj;Land12ian;;land12er;;;;;;;;;;;x
b_land13;Land13;Land13;Land13;;Land13;;;;;;;;;x
b_land13_adj;Land13ian;;land13er;;;;;;;;;;;x
b_land2;Land2;Land2;Land2;;Land2;;;;;;;;;x
b_land2_adj;Land2ian;;land2er;;;;;;;;;;;x
b_land3;Land3;Land3;Land3;;Land3;;;;;;;;;x
b_land3_adj;Land3ian;;land3er;;;;;;;;;;;x
b_land4;Land4;Land4;Land4;;Land4;;;;;;;;;x
b_land4_adj;Land4ian;;land4er;;;;;;;;;;;x
b_land5;Land5;Land5;Land5;;Land5;;;;;;;;;x
b_land5_adj;Land5ian;;land5er;;;;;;;;;;;x
b_land6;Land6;Land6;Land6;;Land6;;;;;;;;;x
b_land6_adj;Land6ian;;land6er;;;;;;;;;;;x
b_land7;Land7;Land7;Land7;;Land7;;;;;;;;;x
b_land7_adj;Land7ian;;land7er;;;;;;;;;;;x
b_land8;Land8;Land8;Land8;;Land8;;;;;;;;;x
b_land8_adj;Land8ian;;land8er;;;;;;;;;;;x
b_land9;Land9;Land9;Land9;;Land9;;;;;;;;;x
b_land9_adj;Land9ian;;land9er;;;;;;;;;;;x
